ID PUMA,PUMA,ID Year,Year,Total Population,Slug PUMA,
79500US1801100,"Montgomery, Clinton, White, Carroll & Benton Counties PUMA, IN",2018,2018,123831,montgomery-clinton-white-carroll-benton-counties-puma-in,
79500US1801200,"Lafayette & West Lafayette Cities PUMA, IN",2018,2018,189507,lafayette-west-lafayette-cities-puma-in,
79500US1801300,"Kokomo City PUMA, IN",2018,2018,135709,kokomo-city-puma-in,
79500US1801400,"Grant, Miami & Wabash Counties PUMA, IN",2018,2018,134652,grant-miami-wabash-counties-puma-in,
79500US1801500,"Henry, Randolph, Jay & Blackford Counties PUMA, IN",2018,2018,106655,henry-randolph-jay-blackford-counties-puma-in,
79500US1801600,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA, IN",2018,2018,104273,clay-sullivan-parke-fountain-vermillion-warren-counties-puma-in,
79500US1801700,"Terre Haute City PUMA, IN",2018,2018,107856,terre-haute-city-puma-in,
79500US1801801,"Boone & Hamilton (Northwest) Counties PUMA, IN",2018,2018,125629,boone-hamilton-northwest-counties-puma-in,
79500US1801802,"Carmel City & Fishers Town (West) PUMA, IN",2018,2018,130330,carmel-city-fishers-town-west-puma-in,
79500US1801803,"Noblesville City & Fishers Town (East) PUMA, IN",2018,2018,124265,noblesville-city-fishers-town-east-puma-in,
79500US1801900,"Anderson City PUMA, IN",2018,2018,129724,anderson-city-puma-in,
79500US1802000,"Muncie City PUMA, IN",2018,2018,115799,muncie-city-puma-in,
79500US1802100,"Morgan, Putnam & Brown Counties PUMA, IN",2018,2018,122121,morgan-putnam-brown-counties-puma-in,
79500US1802200,"Hendricks County PUMA, IN",2018,2018,160974,hendricks-county-puma-in,
79500US1802301,"Pike & Washington (Northwest) TownshipsIndianapolis City (Northwest) PUMA, IN",2018,2018,107497,pike-washington-northwest-townshipsindianapolis-city-northwest-puma-in,
79500US1802302,"Washington Township (South & East)Indianapolis City (North) PUMA, IN",2018,2018,112018,washington-township-south-eastindianapolis-city-north-puma-in,
79500US1802303,"Lawrence TownshipIndianapolis (Northeast) & Lawrence Cities PUMA, IN",2018,2018,124208,lawrence-townshipindianapolis-northeast-lawrence-cities-puma-in,
79500US1802304,"Wayne & Decatur (Northwest) TownshipsIndianapolis City (West) PUMA, IN",2018,2018,146832,wayne-decatur-northwest-townshipsindianapolis-city-west-puma-in,
79500US1802305,"Center TownshipIndianapolis City (Central) PUMA, IN",2018,2018,148086,center-townshipindianapolis-city-central-puma-in,
79500US1802306,"Warren & Franklin TownshipsIndianapolis City (East & Southeast) PUMA, IN",2018,2018,161331,warren-franklin-townshipsindianapolis-city-east-southeast-puma-in,
79500US1802307,"Perry & Decatur (South & East) TownshipsIndianapolis City (South) PUMA, IN",2018,2018,143912,perry-decatur-south-east-townshipsindianapolis-city-south-puma-in,
79500US1802400,"Greenwood City PUMA, IN",2018,2018,151525,greenwood-city-puma-in,
79500US1802500,"Hancock & Shelby Counties PUMA, IN",2018,2018,118295,hancock-shelby-counties-puma-in,
79500US1802600,"Wayne, Fayette, Rush & Union Counties PUMA, IN",2018,2018,114056,wayne-fayette-rush-union-counties-puma-in,
79500US1802700,"Greene, Daviess, Owen, Orange & Martin Counties PUMA, IN",2018,2018,161402,greene-daviess-owen-orange-martin-counties-puma-in,
79500US1802800,"Bloomington City PUMA, IN",2018,2018,145395,bloomington-city-puma-in,
79500US1802900,"Columbus City PUMA, IN",2018,2018,125906,columbus-city-puma-in,
79500US1803000,"Jefferson, Jennings, Decatur & Scott Counties PUMA, IN",2018,2018,110525,jefferson-jennings-decatur-scott-counties-puma-in,
79500US1803100,"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA, IN",2018,2018,117467,dearborn-franklin-ripley-switzerland-ohio-counties-puma-in,
79500US1803200,"Warrick, Gibson & Posey Counties PUMA, IN",2018,2018,120853,warrick-gibson-posey-counties-puma-in,
79500US1803300,"Evansville City PUMA, IN",2018,2018,181339,evansville-city-puma-in,
79500US1803400,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA, IN",2018,2018,142254,dubois-knox-spencer-perry-pike-crawford-counties-puma-in,
79500US1803500,"Floyd, Harrison & Washington Counties PUMA, IN",2018,2018,144420,floyd-harrison-washington-counties-puma-in,
79500US1803600,"Jeffersonville City PUMA, IN",2018,2018,115609,jeffersonville-city-puma-in,
79500US1900100,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA, IA",2018,2018,118475,sioux-clay-dickinson-obrien-lyon-emmet-palo-alto-osceola-counties-puma-ia,
